
2.5,1,31.87,5.85,10
3,1,27.19,7.9,11.1
4,1,21,11.45,12.1
4.25,1,19.94,11.55,11.95
4.5,0,18.78,11.25,11.4
4.75,0,17.9,10.2,10.7
5,0,17.1,9.15,9.95
5.5,0,15.72,6.65,8.2
