2.5,1,31.59,3.35,11.8,2.5,1,31.94,5.2,10.85
3,1,27.21,5.65,13.7,3,1,27.37,7.7,12.3
3.5,1,23.68,9.6,18.1,3.5,1,24.03,10.75,14.1
4,1,21,19.9,24.5,4,1,21.12,14.75,15.75
4.25,1,19.66,26.35,28,4.2,1,20.13,15.15,15.75
4.4,1,19.22,28.1,28.55,4.4,1,19.12,15.4,15.6
4.55,0,18.72,27.65,28.55,4.6,0,18.56,14.6,15.2
4.7,0,17.97,25.7,26.7,4.8,0,17.81,13.15,14.5
5,0,17.18,16.95,21.6,5,0,17.15,11.35,12.9
5.5,0,15.69,7.75,14.2,5.5,0,15.59,7.6,10.15
